"","SD"
"merge.rmdup.B1190023.1",0.266924692744938
"merge.rmdup.B1190079.1",0.227231143092059
"merge.rmdup.B1190189.2",0.261896924090337
"merge.rmdup.B1190302.1",0.279168719905947
"merge.rmdup.B1190315.2",0.243857434900088
"merge.rmdup.B1190356.1",0.240623708954633
"merge.rmdup.B1190361.1",0.288912451261302
"merge.rmdup.B1190400.1",0.282075599586681
"merge.rmdup.B1190429.1",0.249075449794225
"merge.rmdup.B1190468.1",0.350232048112167
"merge.rmdup.B1190484.1",0.264280065147358
"merge.rmdup.B1190522.1",0.259184975822336
"merge.rmdup.B1190563.1",0.239991360520705
"merge.rmdup.B1190598.1",0.315116263730313
"merge.rmdup.B1190653.1",0.260186416688779
"merge.rmdup.B1190729.1",0.246323400519257
"merge.rmdup.B1190806.1",0.267949509263679
"merge.rmdup.WATDE0001",0.266287734129821
"merge.rmdup.WATDE0002",0.271561180508123
"merge.rmdup.WATDE0004",0.255576809249043
"merge.rmdup.WATDE0005",0.262311105732812
"merge.rmdup.WATDE0006",0.256576473020253
"merge.rmdup.WATDE0007",0.242682708218191
"merge.rmdup.WATDE0008",0.252444728803989
"merge.rmdup.WATDE0009",0.752911416731647
"merge.rmdup.WATDE0011",0.246074769963038
"merge.rmdup.WATDE0012",0.267492203152271
"merge.rmdup.WATDE0013",0.254149232678387
"merge.rmdup.WATDE0014",0.253332649612182
"merge.rmdup.WATDE0015",0.248589999530738
"merge.rmdup.WATDE0016",0.270215738090811
"merge.rmdup.WATDE0017",0.258723322433535
"merge.rmdup.WATDE0018",0.260032568057944
"merge.rmdup.WATDE0019",0.241680846686531
"merge.rmdup.WATDE0020",0.27787548828669
"merge.rmdup.WATDE0021",0.254926806855991
"merge.rmdup.WATDE0022",0.259575816180053
"merge.rmdup.WATDE0023",0.280829541941407
"merge.rmdup.WATDE0024",0.258902681693552
"merge.rmdup.WATDE0025",0.266066481321772
"merge.rmdup.WATDE0026",0.282658600062598
"merge.rmdup.WATDE0027",0.26181772859284
"merge.rmdup.WATDE0028",0.287636880323727
"merge.rmdup.WATDE0029",0.232163652327405
"merge.rmdup.WATDE0030",0.252336410957607
"merge.rmdup.WATDE0031",0.275323521567679
"merge.rmdup.WATDE0032",0.247728764399311
"merge.rmdup.WATDE0033",0.271187641149702
"merge.rmdup.WATDE0034",0.261380592915788
"merge.rmdup.WATDE0035",0.273168691390987
"merge.rmdup.WATDE0036",0.288169537979544
"merge.rmdup.WATDE0037",0.274571496139944
"merge.rmdup.WATDE0038",0.268593915806983
"merge.rmdup.WATDE0039",1.07930039334077
"merge.rmdup.WATDE0040",0.273882054516969
"merge.rmdup.WATDE0041",0.235537168643702
"merge.rmdup.WATDE0042",0.283495199858332
"merge.rmdup.WATDE0043",0.324335873024719
"merge.rmdup.WATDE0044",0.31232286839376
"merge.rmdup.WATDE0045",0.306058414978861
"merge.rmdup.WATDE0046",0.270397772154763
"merge.rmdup.WATDE0047",0.272418115890709
"merge.rmdup.WATDE0048",0.262388834669734
"merge.rmdup.WATDE0049",0.249302594995211
"merge.rmdup.WATDE0050",0.240448948104766
"merge.rmdup.WATDE0051",0.268682296092505
"merge.rmdup.WATDE0052",0.276101010456051
"merge.rmdup.WATDE0053",0.281120488827901
"merge.rmdup.WATDE0054",0.269439190897604
"merge.rmdup.WATDE0055",0.252064765323975
"merge.rmdup.WATDE0056",0.513475332277701
"merge.rmdup.WATDE0057",0.391333428152292
"merge.rmdup.WATDE0058",0.22662235152736
"merge.rmdup.WATDE0059",0.303315689829804
"merge.rmdup.WATDE0060",0.517337676482585
"merge.rmdup.WATDE0062",0.352718701670557
"merge.rmdup.WATDE0063",0.280292774998636
"merge.rmdup.WATDE0064",0.240622409080146
"merge.rmdup.WATDE0065",0.354156178486173
"merge.rmdup.WATDE0066",0.232661285238825
"merge.rmdup.WATDE0067",0.2481670814998
"merge.rmdup.WATDE0068",0.267403149683989
"merge.rmdup.WATDE0069",0.284377029344628
"merge.rmdup.WATDE0070",0.249558350352116
"merge.rmdup.WATDE0071",0.281126556195027
"merge.rmdup.WATDE0072",0.346888465347784
"merge.rmdup.WATDE0073",0.262904864298961
"merge.rmdup.WATDE0074",0.261121739445441
"merge.rmdup.WATDE0075",0.263414233473016
"merge.rmdup.WATDE0076",0.270273922546425
"merge.rmdup.WATDE0077",0.2653210681501
"merge.rmdup.WATDE0078",0.260011729491137
"merge.rmdup.WATDE0079",0.311174827114467
"merge.rmdup.WATDE0080",0.28229011436149
"merge.rmdup.WATDE0081",0.267688778520321
"merge.rmdup.WATDE0082",0.273900955483791
"merge.rmdup.WATDE0083",0.248079334716841
"merge.rmdup.WATDE0084",0.296026843476348
"merge.rmdup.WATDE0085",0.270113718549998
"merge.rmdup.WATDE0086",0.24528530907312
"merge.rmdup.WATDE0087",0.258968241369483
"merge.rmdup.WATDE0088",0.271874042360558
"merge.rmdup.WATDE0089",0.241535590253279
"merge.rmdup.WATDE0090",0.495635175192252
"merge.rmdup.WATDE0091",0.221197954698737
"merge.rmdup.WATDE0092",0.228016893450948
"merge.rmdup.WATDE0093",0.26982262538968
"merge.rmdup.WATDE0094",0.294767450517041
"merge.rmdup.WATDE0095",0.326688082315156
"merge.rmdup.WATDE0096",0.293183152118443
"merge.rmdup.WATDE0097",0.293249070286892
"merge.rmdup.WATDE0098",0.271554228028077
"merge.rmdup.WATDE0099",0.277154397096089
"merge.rmdup.WATDE0101",0.278555020934287
"merge.rmdup.WATDE0102",0.294312414494208
"merge.rmdup.WATDE0103",0.279639269179253
"merge.rmdup.WATDE0104",0.257568400874055
"merge.rmdup.WATDE0105",0.273687145026846
"merge.rmdup.WATDE0106",0.254195785296923
"merge.rmdup.WATDE0107",0.264872808903291
"merge.rmdup.WATDE0108",0.308948264022226
"merge.rmdup.WATDE0109",0.324801173671143
"merge.rmdup.WATDE0110",0.247709818682929
"merge.rmdup.WATDE0111",0.249134620553135
"merge.rmdup.WATDE0112",0.272927951488776
"merge.rmdup.WATDE0113",0.257201773426883
"merge.rmdup.WATDE0114",0.376802167254826
"merge.rmdup.WATDE0115",0.302317066229392
"merge.rmdup.WATDE0116",0.263499694630551
"merge.rmdup.WATDE0117",0.352622350798721
"merge.rmdup.WATDE0118",0.289179647054386
"merge.rmdup.WATDE0119",0.364304804372513
"merge.rmdup.WATDE0120",0.258308180730988
"merge.rmdup.WATDE0121",0.264980878970536
"merge.rmdup.WATDE0122",0.258142267630766
"merge.rmdup.WATDE0123",0.261822692416488
"merge.rmdup.WATDE0124",0.2836061889456
"merge.rmdup.WATDE0126",0.248537357677401
"merge.rmdup.WATDE0127",0.257699150510469
"merge.rmdup.WATDE0129",0.272802192385147
"merge.rmdup.WATDE0131",0.264472491412349
"merge.rmdup.WATDE0133",0.24074446379189
"merge.rmdup.WATDE0134",0.276984175771567
"merge.rmdup.WATDE0136",0.270982796354028
"merge.rmdup.WATDE0138",0.264886323647076
"merge.rmdup.WATDE0140",0.254501572095741
"merge.rmdup.WATDE0141",0.248136731198907
"merge.rmdup.WATDE0143",0.263651077169739
"merge.rmdup.WATDE0144",0.311727957976681
"merge.rmdup.WATDE0145",0.275983380476792
"merge.rmdup.WATDE0146",0.274389142837787
"merge.rmdup.WATDE0148",0.251081635084205
"merge.rmdup.WATDE0149",0.277428782713844
"merge.rmdup.WATDE0150",0.250872744701739
"merge.rmdup.WATDE0152",0.252972636649751
"merge.rmdup.WATDE0153",0.257781760451283
"merge.rmdup.WATDE0154",0.234974844990996
"merge.rmdup.WATDE0156",0.266832319513822
"merge.rmdup.WATDE0157",0.25775622736601
"merge.rmdup.WATDE0158",0.246029179404485
"merge.rmdup.WATDE0159",0.278479793324672
"merge.rmdup.WATDE0160",0.251083985201116
"merge.rmdup.WATDE0162",0.245286912783712
"merge.rmdup.WATDE0164",0.266405092696648
"merge.rmdup.WATDE0165",0.255794985029176
"merge.rmdup.WATDE0168",0.257107270882387
"merge.rmdup.WATDE0169",0.239390587296058
"merge.rmdup.WATDE0171",0.257598837700434
"merge.rmdup.WATDE0173",0.279736559223483
"merge.rmdup.WATDE0174",0.266826995930509
"merge.rmdup.WATDE0175",0.232041576124774
"merge.rmdup.WATDE0176",0.267399010555343
"merge.rmdup.WATDE0177",0.265369222367646
"merge.rmdup.WATDE0178",0.270249307184851
"merge.rmdup.WATDE0180",0.269356029264601
"merge.rmdup.WATDE0181",0.263869623092724
"merge.rmdup.WATDE0182",0.29865671307238
"merge.rmdup.WATDE0183",0.287432385031136
"merge.rmdup.WATDE0184",0.255519683010396
"merge.rmdup.WATDE0185",0.281070154716605
"merge.rmdup.WATDE0187",0.261204862391587
"merge.rmdup.WATDE0188",0.239247470925899
"merge.rmdup.WATDE0190",0.273388658051427
"merge.rmdup.WATDE0191",0.24730548750786
"merge.rmdup.WATDE0192",0.256369195725972
"merge.rmdup.WATDE0194",0.291218221515602
"merge.rmdup.WATDE0195",0.271998884925631
"merge.rmdup.WATDE0196",0.256503921667203
"merge.rmdup.WATDE0198",0.238713006604375
"merge.rmdup.WATDE0199",0.28803134141861
"merge.rmdup.WATDE0200",0.258368600235768
"merge.rmdup.WATDE0203",0.249336050766937
"merge.rmdup.WATDE0204",0.278319915338409
"merge.rmdup.WATDE0205",0.261392379880561
"merge.rmdup.WATDE0206",0.26906841053931
"merge.rmdup.WATDE0207",0.256424146726584
"merge.rmdup.WATDE0209",0.265228489193771
"merge.rmdup.WATDE0211",0.265034439091279
"merge.rmdup.WATDE0212",0.245378905558076
"merge.rmdup.WATDE0214",0.205530925226658
"merge.rmdup.WATDE0215",0.272364874604854
"merge.rmdup.WATDE0216",0.271045202591933
"merge.rmdup.WATDE0217",0.26516645409115
"merge.rmdup.WATDE0219",0.224961613934153
"merge.rmdup.WATDE0220",0.244186618629045
"merge.rmdup.WATDE0221",0.261211429471696
"merge.rmdup.WATDE0222",0.268520141778298
"merge.rmdup.WATDE0223",0.262023109744577
"merge.rmdup.WATDE0224",0.23666027484573
"merge.rmdup.WATDE0225",0.264503171326793
"merge.rmdup.WATDE0227",0.247742512088795
"merge.rmdup.WATDE0228",0.271124560115803
"merge.rmdup.WATDE0229",0.244369652161917
"merge.rmdup.WATDE0230",0.27156697900288
"merge.rmdup.WATDE0232",0.241092042481367
"merge.rmdup.WATDE0233",0.275769802055593
"merge.rmdup.WATDE0234",0.248700687993857
"merge.rmdup.WATDE0235",0.230504501830372
"merge.rmdup.WATDE0236",0.239256418304134
"merge.rmdup.WATDE0237",0.249166453509542
"merge.rmdup.WATDE0238",0.25000865128879
"merge.rmdup.WATDE0239",0.243122913467826
"merge.rmdup.WATDE0241",0.272890234527761
"merge.rmdup.WATDE0242",0.272111222131548
"merge.rmdup.WATDE0243",0.255557194687366
"merge.rmdup.WATDE0244",0.236087533975886
"merge.rmdup.WATDE0246",0.256918072687486
"merge.rmdup.WATDE0247",0.24062617891299
"merge.rmdup.WATDE0248",0.256676179510678
"merge.rmdup.WATDE0249",0.26558855938867
"merge.rmdup.WATDE0250",0.274793123973782
"merge.rmdup.WATDE0252",0.254823186941613
"merge.rmdup.WATDE0253",0.258656686709004
"merge.rmdup.WATDE0254",0.269525900874114
"merge.rmdup.WATDE0255",0.253370542705819
"merge.rmdup.WATDE0257",0.257150841821988
"merge.rmdup.WATDE0258",0.270969428065963
"merge.rmdup.WATDE0259",0.257250425324276
"merge.rmdup.WATDE0260",0.248865638157051
"merge.rmdup.WATDE0262",0.253104075465117
"merge.rmdup.WATDE0263",0.250083507258564
"merge.rmdup.WATDE0264",0.270568654937207
"merge.rmdup.WATDE0266",0.268873276218063
"merge.rmdup.WATDE0268",0.251835149061783
"merge.rmdup.WATDE0270",0.264447102349094
"merge.rmdup.WATDE0271",0.24053487453824
"merge.rmdup.WATDE0272",0.263749773090301
"merge.rmdup.WATDE0273",0.240073524585874
"merge.rmdup.WATDE0275",0.24373405317784
"merge.rmdup.WATDE0276",0.264494545952285
"merge.rmdup.WATDE0277",0.23329913661988
"merge.rmdup.WATDE0278",0.414771455317923
"merge.rmdup.WATDE0280",0.230290954563412
"merge.rmdup.WATDE0281",0.241105495469588
"merge.rmdup.WATDE0282",0.263994489069418
"merge.rmdup.WATDE0284",0.240834798271934
"merge.rmdup.WATDE0285",0.260812923291469
"merge.rmdup.WATDE0286",0.265233076756353
"merge.rmdup.WATDE0287",0.240883435854316
"merge.rmdup.WATDE0288",0.264392877298088
"merge.rmdup.WATDE0290",0.280863688343327
"merge.rmdup.WATDE0291",0.237535240389811
"merge.rmdup.WATDE0293",0.309179717229029
"merge.rmdup.WATDE0294",0.262577715860203
"merge.rmdup.WATDE0296",0.252168998537198
"merge.rmdup.WATDE0298",0.263779064662898
"merge.rmdup.WATDE0299",0.237280845016286
"merge.rmdup.WATDE0301",0.245140917431613
"merge.rmdup.WATDE0302",0.249905756952797
"merge.rmdup.WATDE0303",0.235321094103021
"merge.rmdup.WATDE0304",0.234634452218703
"merge.rmdup.WATDE0305",0.405943563741699
"merge.rmdup.WATDE0306",0.252491277781727
"merge.rmdup.WATDE0308",0.279011717051474
"merge.rmdup.WATDE0310",0.251495629010133
"merge.rmdup.WATDE0312",0.284813308621895
"merge.rmdup.WATDE0313",0.231528853949846
"merge.rmdup.WATDE0315",0.244951119563774
"merge.rmdup.WATDE0316",0.244589908273609
"merge.rmdup.WATDE0317",0.236113205455172
"merge.rmdup.WATDE0318",0.254705758716108
"merge.rmdup.WATDE0319",0.251950669991149
"merge.rmdup.WATDE0321",0.24057021517923
"merge.rmdup.WATDE0323",0.234661358115369
"merge.rmdup.WATDE0324",0.242260271206741
"merge.rmdup.WATDE0325",0.253027007076358
"merge.rmdup.WATDE0328",0.235359753056534
"merge.rmdup.WATDE0329",0.239874165199868
"merge.rmdup.WATDE0331",0.246531956668594
"merge.rmdup.WATDE0332",0.28760066089105
"merge.rmdup.WATDE0333",0.298803077448183
"merge.rmdup.WATDE0334",0.299958226027288
"merge.rmdup.WATDE0335",0.249884292872189
"merge.rmdup.WATDE0336",0.28404401705119
"merge.rmdup.WATDE0337",0.245150277394961
"merge.rmdup.WATDE0340",0.259174736267553
"merge.rmdup.WATDE0342",0.254828158072133
"merge.rmdup.WATDE0343",0.244223394340246
"merge.rmdup.WATDE0344",0.262617692638113
"merge.rmdup.WATDE0345",0.230397656928076
"merge.rmdup.WATDE0346",0.252220897562581
"merge.rmdup.WATDE0347",0.236038580850719
"merge.rmdup.WATDE0348",0.230942807523167
"merge.rmdup.WATDE0350",0.235725362394819
"merge.rmdup.WATDE0352",0.22720188611144
"merge.rmdup.WATDE0353",0.214183174823111
"merge.rmdup.WATDE0354",0.223131669883517
"merge.rmdup.WATDE0355",0.29925603423497
"merge.rmdup.WATDE0356",0.25203190380522
"merge.rmdup.WATDE0358",0.23495948279061
"merge.rmdup.WATDE0359",0.256595467834621
"merge.rmdup.WATDE0361",0.237038832138652
"merge.rmdup.WATDE0363",0.220986957446688
"merge.rmdup.WATDE0365",0.227017116025256
"merge.rmdup.WATDE0366",0.272330109748234
"merge.rmdup.WATDE0368",0.258353022382939
"merge.rmdup.WATDE0369",0.288386458192608
"merge.rmdup.WATDE0370",0.225136242943507
"merge.rmdup.WATDE0371",0.226283796668281
"merge.rmdup.WATDE0372",0.272531114752277
"merge.rmdup.WATDE0373",0.248401603157455
"merge.rmdup.WATDE0374",0.25854370845695
"merge.rmdup.WATDE0375",0.269709274988736
"merge.rmdup.WATDE0377",0.309986945903392
"merge.rmdup.WATDE0378",0.239565502784092
"merge.rmdup.WATDE0379",0.249856996617938
"merge.rmdup.WATDE0381",0.26517923606157
"merge.rmdup.WATDE0382",0.254105919697236
"merge.rmdup.WATDE0383",0.233652159578316
"merge.rmdup.WATDE0385",0.242422072087332
"merge.rmdup.WATDE0386",0.263198318593196
"merge.rmdup.WATDE0387",0.239130585198834
"merge.rmdup.WATDE0389",0.252219924773015
"merge.rmdup.WATDE0391",0.241471316296672
"merge.rmdup.WATDE0392",0.248219813149207
"merge.rmdup.WATDE0394",0.281466518817935
"merge.rmdup.WATDE0396",0.246462599106327
"merge.rmdup.WATDE0397",0.267582706765042
"merge.rmdup.WATDE0399",0.223185795596351
"merge.rmdup.WATDE0401",0.288771084780651
"merge.rmdup.WATDE0403",0.263347666027882
"merge.rmdup.WATDE0404",0.236944106742959
"merge.rmdup.WATDE0405",0.271448201969214
"merge.rmdup.WATDE0407",0.220302062955895
"merge.rmdup.WATDE0408",0.234877143504289
"merge.rmdup.WATDE0409",0.230450978192572
"merge.rmdup.WATDE0410",0.216128622282922
"merge.rmdup.WATDE0411",0.308706017794613
"merge.rmdup.WATDE0412",0.253081350251835
"merge.rmdup.WATDE0413",0.246183057503159
"merge.rmdup.WATDE0415",0.243624033895869
"merge.rmdup.WATDE0417",0.242814018568252
"merge.rmdup.WATDE0419",0.228963309070225
"merge.rmdup.WATDE0420",0.26218554713196
"merge.rmdup.WATDE0421",0.270572919640652
"merge.rmdup.WATDE0423",0.268386725851681
"merge.rmdup.WATDE0424",0.282374898285638
"merge.rmdup.WATDE0425",0.270964861856529
"merge.rmdup.WATDE0426",0.257865132829964
"merge.rmdup.WATDE0427",0.251973583998961
"merge.rmdup.WATDE0428",0.259747197782847
"merge.rmdup.WATDE0429",0.245024823976491
"merge.rmdup.WATDE0430",0.258359032482309
"merge.rmdup.WATDE0431",0.251278985526979
"merge.rmdup.WATDE0432",0.239809180326943
"merge.rmdup.WATDE0433",0.283563770920074
"merge.rmdup.WATDE0434",0.345943225817957
"merge.rmdup.WATDE0435",0.255651405980082
"merge.rmdup.WATDE0436",0.317504832799198
"merge.rmdup.WATDE0438",0.336822690761744
"merge.rmdup.WATDE0439",0.335475412928641
"merge.rmdup.WATDE0440",0.32892001726389
"merge.rmdup.WATDE0441",0.336138714136312
"merge.rmdup.WATDE0442",0.321933388194961
"merge.rmdup.WATDE0443",0.322461870532395
"merge.rmdup.WATDE0444",0.29791908069784
"merge.rmdup.WATDE0445",0.28918776705938
"merge.rmdup.WATDE0446",0.305682743351796
"merge.rmdup.WATDE0448",0.311263976292032
"merge.rmdup.WATDE0449",0.319154483019595
"merge.rmdup.WATDE0450",0.262084643260576
"merge.rmdup.WATDE0451",0.257915297419299
"merge.rmdup.WATDE0452",0.303546723829667
"merge.rmdup.WATDE0453",0.330279883182221
"merge.rmdup.WATDE0454",0.311244062015592
"merge.rmdup.WATDE0455",0.256106173200181
"merge.rmdup.WATDE0456",0.291768596019535
"merge.rmdup.WATDE0457",0.24908967331922
"merge.rmdup.WATDE0460",0.423408477273449
"merge.rmdup.WATDE0461",0.265163249693485
"merge.rmdup.WATDE0462",0.282357767363591
"merge.rmdup.WATDE0463",0.30047221921139
"merge.rmdup.WATDE0465",0.323092289919977
"merge.rmdup.WATDE0467",0.284588700907762
"merge.rmdup.WATDE0469",0.289853359580258
"merge.rmdup.WATDE0471",0.315093149845947
"merge.rmdup.WATDE0474",0.336729802585693
"merge.rmdup.WATDE0477",0.26284621734773
"merge.rmdup.WATDE0479",0.263437265625043
"merge.rmdup.WATDE0481",0.381445097500814
"merge.rmdup.WATDE0482",0.31998189820083
"merge.rmdup.WATDE0484",0.312257565694723
"merge.rmdup.WATDE0486",0.250703149765007
"merge.rmdup.WATDE0487",0.302539446242434
"merge.rmdup.WATDE0488",0.310303971789966
"merge.rmdup.WATDE0489",0.343741037911093
"merge.rmdup.WATDE0490",0.354218634477936
"merge.rmdup.WATDE0492",0.328434057041211
"merge.rmdup.WATDE0494",0.29826208760266
"merge.rmdup.WATDE0496",0.316381246563255
"merge.rmdup.WATDE0498",0.290995367470227
